Index,ind01,ind02,ind03,ind04,ind05,ind06,ind07,ind08,ind09,ind10,ind11,ind12,ind13,ind14,ind15,ind16,ind17,ind18,ind19,ind20,ind21,ind22,ind23,ind24,ind25
MSMO1,3.851862,3.968259,3.92671,3.820965,3.851061,3.86307,3.969762,3.764837,3.844716,3.890371,3.965198,3.879168,3.797447,4.022733,3.851054,4.046749,3.962584,3.995464,3.84654,3.923936,3.872033,3.870371,3.926906,3.957622,3.880657
XRCC3,5.11681,5.034375,5.427503,5.56335,5.538856,5.843924,5.072673,5.084988,5.776071,5.301015,5.407082,5.342928,5.421041,4.955159,5.388643,4.62192,4.887107,4.828259,5.230803,4.956954,5.051223,5.323947,5.453984,4.957866,5.327699
NEUROG3,3.268378,3.297777,3.308502,3.269767,3.240272,3.248639,3.262986,3.261559,3.256017,3.26878,3.307902,3.283653,3.262608,3.260982,3.244923,3.331889,3.321729,3.257498,3.287629,3.255925,3.25136,3.280002,3.277977,3.306533,3.309621
OPN1SW,4.112361,4.007013,4.507281,4.072433,4.053964,4.409335,3.895483,4.008392,4.284785,3.908282,3.916417,4.120603,3.962906,3.947801,4.144025,3.937511,3.816626,3.816906,4.045306,3.858846,3.803136,4.050219,4.073321,4.026303,3.939266
EED,3.939909,4.046504,4.068018,4.148059,3.851874,4.198614,3.817145,3.896384,3.929974,3.847952,3.785309,3.812104,3.789518,3.814514,3.897039,3.71652,3.816819,3.723238,3.835665,3.833995,3.695104,3.863979,3.800199,3.83045,3.718762
OR1L1,3.252636,3.28234,3.211784,3.200558,3.253367,3.213395,3.292689,3.247019,3.229687,3.238708,3.244397,3.252897,3.22787,3.239991,3.299855,3.326584,3.285083,3.312949,3.253716,3.265026,3.300687,3.230526,3.263583,3.253613,3.261741
PSCA,4.59332,4.80319,4.854029,4.570287,4.365987,4.833677,4.324789,4.419401,4.510778,4.297514,4.619545,4.496633,4.521804,4.395361,4.488418,4.325626,4.25544,4.249107,4.414155,4.271334,4.198884,4.423314,4.467792,4.247168,4.220871
USP48,3.361765,3.441531,3.54285,3.49367,3.493711,3.523805,3.403254,3.47697,3.876553,3.630484,3.735582,3.542252,3.995465,3.469667,3.482847,3.301253,3.428145,3.465027,3.492516,3.39828,3.468459,3.477172,3.506121,3.388762,3.533889
SLC25A47,6.748116,6.755581,6.508618,6.866732,7.189958,6.288848,7.050833,6.54056,7.31736,7.353436,6.76938,6.879983,7.617778,6.978094,7.106452,5.847275,6.860061,6.706217,7.130808,6.934984,6.990584,6.563328,7.005344,6.891947,7.018457
KRIT1,5.139073,4.963099,5.200194,5.143405,5.049988,5.150103,5.213763,4.989731,5.019526,4.928441,5.190679,5.208288,4.906786,5.280707,5.193083,5.174613,5.033668,4.946827,4.975749,5.225195,5.060524,5.260365,5.074372,5.255857,5.06108
RFC2,3.406718,3.534561,3.491873,3.207304,3.210923,3.499119,3.51684,3.429509,3.373273,3.486365,3.302062,3.377376,3.468554,3.320934,3.609813,3.497033,3.476317,3.400054,3.428149,3.414783,3.594695,3.423455,3.391786,3.419996,3.510183
BNIPL,6.766689,7.032701,7.509288,6.264361,6.150986,6.660186,6.580608,6.892017,6.412222,6.598318,6.512213,6.90659,6.791194,6.769167,7.103112,6.330422,6.069776,6.297248,6.952013,6.375929,6.89729,6.700377,6.799028,6.853339,6.694951
NFAT5,3.248788,3.231189,3.198808,3.437489,3.293613,3.198045,3.241885,3.256453,3.294993,3.319013,3.174132,3.234616,3.261658,3.226396,3.323939,3.211792,3.25423,3.2825,3.443042,3.260227,3.287802,3.266279,3.340132,3.205255,3.210506
HTR4,5.414999,7.398956,5.878412,8.342299,7.075578,8.232899,4.637183,7.531251,5.636879,4.59909,4.804018,3.735204,4.166052,4.10968,6.219421,3.868942,3.673635,3.694584,4.652892,3.815822,4.828607,3.842639,5.755266,3.724992,4.083794
LARS2,3.388623,3.381949,3.349649,3.387673,3.371372,3.345572,3.328254,3.421756,3.386126,3.350981,3.391581,3.341873,3.362643,3.354368,3.353725,3.359178,3.440501,3.374833,3.384672,3.414851,3.383213,3.349193,3.352314,3.363982,3.374141
TCEAL2,4.409922,4.593656,4.831192,4.248059,3.722625,4.066341,4.122241,4.22051,4.411791,3.688843,4.131532,4.155119,3.784124,3.922493,4.796933,3.599365,3.601032,3.459868,4.417717,3.790602,3.937196,3.98818,4.003109,3.601719,4.036516
CHMP2B,3.174797,3.19063,3.190112,3.210584,3.219783,3.204652,3.201413,3.257798,3.207896,3.311114,3.185935,3.191223,3.20263,3.219991,3.191229,3.200579,3.207541,3.283328,3.163501,3.169978,3.206279,3.274546,3.221782,3.201625,3.233186
POR,3.174099,3.191274,3.186367,3.189108,3.242921,3.186089,3.191274,3.188825,3.192915,3.207869,3.168959,3.155483,3.201179,3.192728,3.219348,3.200009,3.197237,3.22,3.181769,3.167048,3.247496,3.224958,3.171661,3.223434,3.18941
SCO1,3.223785,3.226492,3.206626,3.207127,3.213875,3.218005,3.1943,3.193105,3.233286,3.195576,3.257627,3.257627,3.222088,3.211633,3.208777,3.298409,3.221998,3.236266,3.210488,3.260847,3.236955,3.268888,3.242714,3.220692,3.214022
AHCYL2,4.421463,4.541432,4.525259,4.612186,4.491898,4.576397,4.450692,4.561292,5.062244,4.882537,4.651026,4.72882,4.955127,4.621324,4.658221,4.545737,4.550116,4.615511,4.714522,4.567638,4.440771,4.558651,4.731421,4.714142,4.825008
ADAR,4.187683,4.476276,4.454296,4.592717,4.571159,4.70905,4.172943,4.556653,5.073735,4.527433,4.450928,4.534192,4.789306,4.317011,4.768629,4.07284,4.152421,4.160024,4.385326,4.145919,4.104098,4.393568,4.402961,4.229676,4.462467
CAPRIN2,3.714648,3.719284,3.632377,3.614539,3.753935,3.798186,3.739763,3.746777,3.651357,3.754679,3.659773,3.699843,3.645582,3.55826,3.883351,3.741344,3.691695,3.790702,3.693813,3.673815,3.659647,3.701772,3.702877,3.714449,3.619427
TCF21,7.140571,8.279864,7.150549,8.981637,8.615898,8.839722,6.791058,7.658356,7.762184,6.997694,6.947642,7.049592,7.160579,7.076994,7.502795,6.271573,6.439095,6.669067,6.93819,6.706051,6.69663,7.152903,7.403776,6.969372,7.243873
DNAH5,8.79937,9.267707,9.060203,9.425861,9.51317,9.163877,8.625584,9.546365,10.02237,9.670563,9.70464,9.415592,10.16861,9.517021,9.288059,7.472277,8.804386,8.786491,9.359436,9.328062,8.683561,8.991104,9.266292,9.411255,9.333846
SLC25A42,3.42737,3.496799,3.41706,3.407724,3.402649,3.418218,3.404102,3.376763,3.379478,3.404268,3.404341,3.476155,3.420059,3.414561,3.393627,3.400123,3.458941,3.507738,3.420154,3.39609,3.401662,3.448837,3.437686,3.393602,3.43101
TM4SF20,3.235484,3.375756,3.343622,3.267503,3.332866,3.276547,3.312348,3.263203,3.272107,3.275145,3.255451,3.240592,3.266584,3.352272,3.234294,3.256711,3.315399,3.375422,3.305415,3.265589,3.285529,3.364019,3.279353,3.310185,3.252989
CISH,4.963441,5.123434,5.2712,5.38518,5.120616,5.441729,4.760142,5.362503,5.903466,5.512483,5.380534,5.332191,6.210866,4.966119,5.1626,4.040936,5.039207,4.680959,5.309865,4.974131,4.920616,5.132562,5.290805,5.038288,5.481509
NFKBIL1,3.218276,3.215372,3.235403,3.2098,3.220201,3.220505,3.230772,3.193608,3.206961,3.19816,3.203985,3.257076,3.198983,3.213263,3.209728,3.21701,3.230798,3.304981,3.200112,3.21445,3.192661,3.197925,3.236629,3.217463,3.190807
MAG,5.300107,5.592442,5.421863,5.301918,4.937338,5.249273,5.31577,5.213725,5.697505,4.900966,5.647721,5.37789,5.80923,5.314224,5.728775,5.692358,5.600616,5.569001,5.303686,5.387309,5.378241,5.213378,5.450632,5.385541,5.879602
EIF3G,4.516892,4.281847,4.742887,4.447533,4.457266,4.447154,4.260033,4.165967,4.772795,4.587837,4.536778,4.700437,4.528142,4.39715,4.253575,4.039014,4.27388,4.198436,4.374234,4.367583,4.479826,4.827975,4.39176,4.684849,4.56302
SLC1A4,3.42391,3.383102,3.320032,3.364083,3.329428,3.328329,3.382489,3.318207,3.334878,3.294156,3.316834,3.337896,3.310501,3.370285,3.344902,3.415983,3.330581,3.358185,3.313761,3.32512,3.303092,3.296989,3.308007,3.364937,3.338156
MTUS1,3.770728,3.603271,3.679669,3.620936,3.594173,3.860838,3.747521,3.617052,3.641891,3.58242,3.610056,3.593144,3.718125,3.693125,3.846103,3.628458,3.650331,3.69814,3.723547,3.645458,3.662302,3.72052,3.665615,3.659926,3.648652
EFTUD2,3.446617,3.460876,3.460537,3.454105,3.484052,3.455547,3.483958,3.478756,3.759013,3.478754,3.430491,3.428038,3.459037,3.181623,3.540172,3.419489,3.308837,3.4102,3.4827,3.409023,3.468765,3.412422,3.460212,3.375868,3.483975
QDPR,4.039025,4.323252,4.323004,4.811049,4.375741,4.644899,4.127937,4.31008,4.810493,4.508756,4.360679,4.401985,4.357393,4.254786,4.358797,4.00992,4.193023,4.167126,4.247006,4.207507,4.108262,4.334794,4.41242,4.07479,4.525587
TNFRSF11A,3.454141,3.526419,3.364163,3.434468,3.507119,3.491715,3.398546,3.319379,3.381362,3.455386,3.393379,3.278906,3.403427,3.424731,3.435848,3.536725,3.440515,3.425039,3.406953,3.482913,3.469317,3.385023,3.380591,3.461729,3.433278
UBE2B,3.51737,3.489685,3.503025,3.442283,3.530209,3.677188,3.605025,3.503692,3.477083,3.47951,3.524954,3.442335,3.620533,3.509702,3.4967,3.4942,3.472231,3.498385,3.451169,3.522002,3.494528,3.495136,3.448805,3.722375,3.4942
GLO1,4.005647,3.96774,3.490473,3.678215,3.897361,4.071169,4.219023,5.43747,5.769219,3.653656,4.27511,3.738869,3.783287,3.751332,5.081752,3.555246,3.52213,3.554578,3.581237,3.699949,3.919783,3.729704,3.627469,3.974189,4.176087
RASSF5,3.205762,3.239613,3.201712,3.217219,3.206113,3.21546,3.217247,3.225522,3.207799,3.232448,3.21546,3.220973,3.225653,3.219513,3.219495,3.220514,3.210927,3.219335,3.214416,3.217517,3.22934,3.213623,3.212078,3.224842,3.21546
PVR,3.609675,3.68475,3.675641,3.704032,3.725719,3.729149,3.693154,3.675356,3.775122,3.667734,3.644416,3.779389,3.70126,3.671965,3.765565,3.680434,3.647104,3.638154,3.642133,3.625776,3.605607,3.625932,3.661246,3.691929,3.697346
SLC18A3,4.176291,4.334136,4.179375,3.996595,4.227632,4.371732,4.233047,3.906216,4.124455,4.078619,4.301237,4.114435,4.154292,4.330747,4.186035,4.436546,4.279816,4.193856,4.224297,4.248345,4.291798,4.371336,4.13659,4.360157,4.227964
OSMR,3.438782,3.24427,3.297416,3.28451,3.279154,3.233846,3.272625,3.197961,3.28787,3.198963,3.214826,3.327776,3.228257,3.188136,3.184918,3.284619,3.219783,3.195087,3.263662,3.227516,3.28812,3.185632,3.246519,3.272795,3.680844
CYC1,3.392252,3.336142,3.34178,3.343664,3.354378,3.35742,3.388624,3.38327,3.372729,3.356809,3.376008,3.40864,3.396353,3.38677,3.490399,3.379959,3.386158,3.392489,3.344174,3.369637,3.376975,3.398796,3.416061,3.385629,3.392987
PRPF8,3.746143,3.949288,3.816106,4.111598,4.11554,4.272336,3.8648,3.814021,4.565232,3.955538,3.836156,3.935091,4.465446,3.858798,4.065869,3.596545,4.095356,3.744622,3.857746,3.903087,3.572006,3.96404,3.981163,4.033904,4.273365
OR7G1,5.103974,5.195065,5.553576,5.028533,4.8331,5.310575,5.002454,5.271464,5.204153,4.964064,4.998052,5.146822,4.801247,4.801885,5.616163,4.469106,5.292968,4.40507,4.766654,4.64734,5.068828,4.803236,5.528878,5.112644,5.00709
SPRY4,3.809957,3.833466,3.831291,3.748884,3.747977,3.88243,3.797502,3.750049,3.738434,3.763856,3.811663,3.826544,3.793536,3.833654,3.795931,3.805507,3.784756,3.844684,3.852535,3.790255,3.797289,3.771453,3.775977,3.874391,3.746556
MAD1L1,3.261313,3.233361,3.309437,3.269966,3.270678,3.259958,3.243459,3.252515,3.292647,3.300179,3.218168,3.269833,3.251561,3.227306,3.273768,3.262655,3.253836,3.247644,3.282608,3.226713,3.207786,3.277557,3.274827,3.231698,3.282691
GDF1,4.396694,4.011767,4.136763,3.995907,3.988743,4.115354,4.145674,3.820869,3.953923,4.120532,4.272974,4.15031,3.906503,3.969736,4.036695,4.040489,4.047771,4.343205,4.477505,4.234812,4.422183,4.57149,4.52975,4.098972,4.133124
HOXA1,3.550966,3.48517,3.53172,3.418382,3.465905,3.561038,3.641093,3.578366,3.616362,3.382823,3.480479,3.535117,3.558189,3.714588,3.413638,3.479031,3.530022,3.531256,3.648156,3.546008,3.670026,3.582,3.538663,3.567364,3.620217
KCNK18,3.706507,3.713347,3.70728,3.706276,3.761837,3.707511,3.74906,3.608959,3.573278,3.670113,3.828001,3.604978,3.634332,3.770919,3.631349,3.618188,3.75114,3.907146,3.665302,3.730526,3.919645,3.673624,3.610388,3.719578,3.652133
ORC5,3.404829,3.401577,3.401186,3.413795,3.384815,3.418687,3.41508,3.386644,3.348117,3.361589,3.381831,3.379819,3.377655,3.470695,3.37791,3.422605,3.398549,3.411391,3.385852,3.415668,3.455695,3.380425,3.391245,3.419466,3.379662
SLC27A3,3.18118,3.250484,3.202494,3.211359,3.27411,3.356794,3.225178,3.294171,3.253887,3.193524,3.209756,3.209888,3.185679,3.204755,3.193802,3.225665,3.199394,3.210174,3.193148,3.198797,3.219104,3.219887,3.210556,3.21732,3.225627
GUCA1A,8.212934,8.08105,8.02244,7.41672,7.351506,8.236835,7.740679,7.690813,7.656371,7.425046,7.372242,7.937561,7.767651,7.765403,8.018188,6.654683,7.405098,7.761592,7.839204,7.675584,8.052564,8.014283,7.649949,7.936561,7.72328
TNF,3.475192,3.663596,3.420227,4.256141,4.252527,4.316998,3.475334,3.575564,3.447231,3.461897,3.449286,3.494668,3.418461,3.472796,3.512241,3.450115,3.416987,3.449076,3.420038,3.436507,3.441018,3.413101,3.418166,3.384751,3.412113
