,ind002,ind003,ind005,ind006,ind011,ind012,ind017,ind024,ind027,ind028,ind030,ind032,ind033,ind036,ind037,ind039,ind040,ind041,ind042,ind043,ind044,ind048,ind050,ind053,ind056,ind058,ind062,ind065,ind066,ind067,ind068,ind069,ind080,ind084,ind085,ind093,ind094,ind095,ind096,ind097,ind098,ind099,ind100
ASCC1,8.988275948,9.160349169,9.187379898,9.156577951,8.995309374,9.195268855,8.9071136,8.889556267,8.994457922,8.748208361,8.98725855,9.105974626,9.033641907,9.118455308,9.114138436,9.03715464,9.149073164,8.930753409,9.374478494,9.125909443,8.932012076,9.094813823,8.964279176,8.664049223,8.871192898,9.416911647,9.290010964,9.436274528,8.859754888,8.9355484,8.783966621,9.270049709,9.090951247,8.798425279,9.106867182,9.12721696,9.083752376,8.883284014,8.967574777,8.735838698,9.088348286,9.275979674,8.902113068
ZNF136,5.578706227,5.472636034,5.14922851,5.541282759,5.61854649,5.446142971,5.367223619,5.526812358,5.351560768,5.336475271,5.506958554,5.49897282,5.368195256,5.416255406,5.476229489,5.474740944,5.297591885,5.557129368,5.289987788,5.293424985,5.288465726,5.334839093,5.204518924,5.57614311,5.37164211,5.207929405,5.41004203,5.016840045,5.244254287,5.450455066,5.278945989,5.300053634,5.282322856,5.48480847,5.356922592,5.194418218,5.420803095,5.284953026,5.359474769,5.646672923,5.268503489,5.434150047,5.444452751
BICC1,4.599957854,4.682594603,5.164753559,5.165689549,5.044214584,5.386753695,5.221280433,4.593025768,4.80927358,5.030272993,3.926990784,4.991471904,5.057450681,4.841104356,5.453240507,4.571884626,4.929967505,5.014858022,4.717605893,5.19349363,5.131951046,5.045070691,5.220644771,4.924035819,4.97457071,4.863006614,4.868612403,5.124120977,5.070471994,5.147185887,5.061875484,5.03505988,4.885387159,5.454699454,5.17627002,5.174403131,4.901316,4.908156779,4.958449934,4.881407309,5.117763761,5.126144066,5.128119752
PDX1,8.780215929,6.852600446,6.567647193,9.228748483,9.107901905,5.232888316,7.394506047,5.969130427,8.566277004,8.430760577,6.048261069,8.691584625,7.131529528,6.342739603,7.292287508,8.407561517,8.201320468,5.028621502,6.041169561,7.158778595,6.389954129,6.873115222,8.954876465,6.855295771,9.330256466,8.50648897,8.402234578,6.934522244,8.31397411,5.485729957,7.047311688,8.452886303,9.118019241,6.757174488,8.613496589,5.333903067,5.646765557,6.348302661,5.815997539,8.427776593,5.512417403,8.224908996,9.29568607
PHC1,5.674772248,6.10085173,6.000059385,5.929987102,6.081491917,6.292477693,6.136376257,6.239723119,6.548968345,6.154919688,6.159928961,6.064200826,6.092453299,6.142916301,6.062133045,5.890442568,5.545190006,5.130213836,5.607986005,6.003032931,5.725195415,5.582798751,6.049817212,5.960564181,5.467418851,5.770668518,5.852486484,6.103042817,5.426813211,5.944570895,5.833181092,5.887231248,5.752021422,5.566252896,5.898804439,5.014376336,5.854229975,5.266926994,6.187300818,5.307227356,5.852193236,5.870242967,5.521137839
PLA2G4C,7.204016412,7.862565502,7.056105854,7.478157859,7.825066286,6.310827537,6.129308136,7.876595267,7.018462634,6.287513342,6.518683788,6.575886726,7.288935509,6.795143712,6.626913521,6.104405933,7.419313383,5.831108225,5.674772248,8.535497621,7.163113494,6.168617682,6.916469103,7.111820682,6.76934716,7.524926131,7.312980068,5.732600945,6.739016501,6.610325069,6.519332244,7.775916015,6.135059983,5.63383382,5.934633498,5.924627443,7.008439866,7.072268484,7.750636429,6.568348797,7.18205772,7.266545225,7.38904114
MARK2,5.117798999,5.368338662,5.470533855,5.477625409,5.888387849,5.513930804,5.89534505,5.8417184,5.69083103,6.041967623,5.309705597,5.653592931,5.668861246,5.754005355,5.804689895,5.407165628,5.32434071,5.401993232,5.583137719,5.569246894,5.17944654,5.903976775,6.263548541,5.808055675,6.071486324,5.938704461,5.559483188,5.914574621,6.023558458,5.786006266,5.706833879,5.613604636,5.610246355,5.394594369,5.288249373,5.351656974,5.188710534,5.197184101,5.328389699,5.260681527,5.554682296,4.76976609,5.54469859
MTNR1B,4.234306287,4.277435657,4.112243862,4.876663723,4.249572711,4.067606575,4.041039112,4.772031397,4.171283357,4.338234411,5.154095543,4.028273624,4.318755389,4.398040953,4.528561168,4.516533024,3.927649556,4.034985505,4.256213997,4.524358734,4.240435451,4.817249183,4.673092391,4.534153027,4.494233265,4.517344579,4.162663356,4.658807317,4.064699645,4.291774633,4.456789364,4.350498431,4.791556456,4.190692715,4.481519648,4.241447938,4.534153027,4.678351507,4.886776271,4.507261255,4.666020981,4.328284717,4.374904645
DAO,5.449712619,5.28830595,5.470533855,5.514744434,5.099194435,5.437068409,5.05204787,5.388807244,5.457908284,5.327358968,5.129493818,5.387041259,5.199244318,5.259150667,5.367682148,5.439692303,5.1419901,5.718488109,5.811725751,5.451833373,5.472538265,5.4893648,5.364226466,5.386227265,5.237262043,5.592031393,5.363453128,5.33963925,5.331829651,5.067261788,5.455974889,5.733604254,4.950847175,5.132545156,5.565474239,5.460944565,5.083838322,5.288071847,5.064058025,5.398818444,5.305629267,5.650331903,5.262879494
GPRASP2,6.201495607,6.542598764,6.379495579,6.201752788,6.340241348,6.270666095,6.186126101,6.202442527,6.320222622,6.02739804,6.307752858,6.105966999,6.199185324,5.999871517,6.122645548,6.338007004,5.834370283,6.204242195,6.262726019,6.066508612,6.114895518,5.993059244,6.053688311,6.457324805,5.712515107,5.782251651,5.95234445,5.742455059,5.755633308,6.030579992,6.502632099,6.095010026,5.624989586,6.020117011,5.991106734,6.143324352,6.130422579,6.278512599,6.181962388,6.089758772,6.206329687,6.047327389,6.109335565
KCNAB1,5.290598523,5.369385792,5.428257161,5.355230429,5.211274142,5.161286538,4.838370048,5.185830022,5.098083372,5.125305718,5.563006159,5.273219137,5.458959256,5.317589457,5.287499892,5.207409894,5.194210763,5.423349923,5.368730156,5.121782302,5.547519119,5.442116147,5.392777182,5.47038768,5.177954083,5.532285234,5.446000462,5.315714539,5.371542828,5.57264533,5.032422703,5.378709781,5.182947127,5.332416288,5.666309223,5.387233629,5.415139056,5.528407548,5.55128619,5.893654632,5.436875198,5.366702705,5.480439238
VPS11,6.435724724,6.778086729,6.747133561,6.456776591,6.418007537,6.680335384,6.159287917,6.624764633,6.196486887,5.782912632,6.424421571,6.418679746,6.301115685,6.567245509,6.469576078,6.509863174,5.636054741,5.489876313,5.596890702,6.026778178,5.931949634,5.745952618,5.773300335,6.264341661,5.689454644,6.061083339,6.178487978,5.971163852,6.116523288,6.573144261,6.094700452,6.273807821,6.010772338,6.315445894,6.494306706,5.384353991,5.850774619,5.709301444,6.477606131,5.990311955,6.798644243,5.82222507,6.601784114
MUC5B,4.675640296,4.987359713,5.361367668,4.345029936,5.027160686,5.19009087,5.125841134,5.075681623,5.205836811,5.116121791,5.234097948,5.220479504,5.043579901,5.202543424,5.031962412,4.695039341,5.294515941,5.123113595,4.596404272,4.747738775,5.22646892,5.276883783,5.07526274,5.081140689,5.119755589,5.144578956,5.180856893,4.956810134,4.887040778,5.112119757,4.758100123,4.855841421,5.219182195,5.156518502,4.532040252,5.022226247,4.81501921,5.020303331,4.66845535,4.995638578,5.072940825,4.950847175,5.418196687
VANGL2,7.195372993,6.900244319,7.14779889,6.27073396,6.318142714,6.998375266,6.524715568,6.908981019,6.267476547,6.494022311,6.82068175,6.820146546,6.48834962,7.099948598,6.626913521,6.836167602,6.563853745,6.974026699,7.056381276,7.053385764,7.548586874,6.972767279,6.503898749,7.774808448,6.043771455,6.733018364,6.842430209,7.585299482,6.576691801,7.083471495,7.384199124,5.95589867,5.925305085,6.467720841,6.594834602,6.554334032,6.918775291,6.413423945,6.457620323,6.14252464,6.45070043,5.938805733,6.641095619
ACD,7.062232881,7.267428504,7.31884902,6.994733723,7.246035573,7.063718601,6.966691068,7.183051999,6.990407782,6.966305797,7.397556404,7.292670224,6.948115698,7.176453635,7.250264642,7.302014026,7.049672727,6.928090142,7.753540164,7.255486242,7.081790419,6.934301728,7.186744019,7.537990708,6.252761224,7.051442794,7.239077443,7.307713839,7.274765313,6.98399658,7.243533258,7.346563499,6.613488043,6.876468558,6.879258013,7.335905503,7.224380505,6.674531204,6.711589785,6.473668251,7.014630846,6.702896286,6.977075917
PHF8,5.490935553,5.404661662,5.391675249,4.904377177,5.448649568,4.993800278,5.252958634,5.373418558,5.224613705,5.40036905,4.987901323,5.089453815,5.493674133,5.437142211,5.513072194,5.23365806,5.25840803,5.469874414,5.183976947,5.512266144,5.329932653,5.41576822,5.272100668,4.961282956,5.273781338,5.464548229,5.761550023,5.354951418,5.076285082,5.39882248,5.432197947,5.46193288,5.204015508,5.278848207,5.351231745,5.251051988,5.433185287,5.416365142,5.444112,5.219126271,5.245917987,5.094691394,5.158375758
NR4A2,6.913862336,8.048643356,7.303496512,7.614676848,6.891087019,8.952867969,7.005324972,8.545662979,7.124630425,6.316453466,6.332716332,6.572894107,6.280605265,7.466354997,7.134494295,7.464736739,5.938783308,8.239239313,5.64226634,6.728945656,6.558534503,7.128112945,7.067440691,7.332014044,7.522404716,6.977715958,5.57952554,7.9124587,5.56956379,7.05909303,7.195944088,6.418111337,6.356948118,7.176346613,7.122607223,6.874689328,8.997834464,7.262777269,7.146869952,6.77765863,8.710700791,6.505726602,7.529237716
KCNQ3,4.673506254,4.507712243,4.834342377,4.413226162,4.429938714,4.153987198,4.443259482,5.004992087,4.523528879,5.394831588,4.757332664,4.448615515,5.073925164,4.841104356,4.860276207,4.894170995,4.733575482,5.040249324,5.10016071,4.863208612,4.839935342,4.797576776,4.800107053,4.500059766,4.373763835,4.572946606,4.854568532,5.178126062,4.87560024,4.867356159,5.112084266,4.762693706,5.089995087,4.897413703,5.043300226,4.659376098,4.683952055,4.96417567,5.120682317,4.671906632,5.241261753,4.940708897,4.800845092
CRP,5.132025027,4.770544387,4.076034204,5.505490204,5.16080345,4.401334226,4.865566764,4.805361695,5.255204213,4.951317986,5.493734938,4.900476374,4.790115728,4.841104356,4.801050501,4.818259317,4.931213481,4.829705937,5.011681087,5.238965698,4.625412281,4.912303499,4.915874716,4.535814396,4.528187816,4.609392934,4.98727718,3.968819081,4.754893492,5.041596117,4.695727059,5.268784314,4.976971602,4.799591966,4.703331166,5.035157074,4.889530191,4.776637606,5.277525451,4.659776129,5.291375665,4.95112039,5.089264888
EIF4E,4.823237732,5.200355276,5.287266112,5.45043799,5.52124966,5.484217122,5.585001181,5.545812726,5.54245507,5.503498357,5.322327973,5.256729942,5.159126332,5.43049462,5.367682148,5.508246395,4.836231064,4.859743625,4.497972149,4.948622272,4.786295302,4.951410494,4.902728373,4.630023013,5.326246114,5.562979178,4.688255106,4.867832544,5.001582241,4.949973944,5.132670834,4.949202588,5.694014922,5.425108531,5.385994525,4.822846678,5.119145736,5.303358147,5.585085988,5.597681822,5.150883787,5.474485169,5.241714032
DGAT1,7.517355735,7.415935773,7.481125355,8.24298237,9.754563676,7.388462301,8.655179939,7.258702762,7.532611679,8.819753849,7.451119653,7.364641905,7.54462068,7.450303343,7.054871129,8.145658304,7.994753208,7.378392686,7.909171621,7.451631434,7.312716923,7.12272165,9.595073001,7.378902742,9.766242118,8.036644705,7.311736196,7.980702264,7.752329884,7.515958413,7.658514296,8.330186775,10.09993175,7.535430505,7.445591913,7.048676397,7.283372447,7.134744445,7.208310335,7.268803109,7.369177825,7.643016841,10.33234815
ERCC5,9.777873118,9.605619485,9.593991516,9.725675141,9.460482228,9.55946377,9.531635914,9.474419758,9.751917107,9.642561895,9.515210237,9.551659075,9.799895463,9.871396662,9.58272487,9.580038606,9.912847395,9.610780524,9.910930811,9.634986814,9.806370599,9.788705947,10.05955197,9.860399016,9.87818257,10.32263315,10.162102,9.816635074,9.951006215,9.705663418,9.7395168,9.916061213,9.567390981,9.119321002,9.311307965,9.502596737,9.458237402,9.183574086,9.125470351,9.09007726,9.669548856,9.550619375,9.719867458
HTR3A,5.15943892,5.246207068,5.361367668,5.556494551,5.120284153,5.1471061,5.394227121,5.373418558,5.835602619,5.092032822,5.36113955,5.468210235,5.140164278,5.43049462,5.055197738,5.182188507,5.403299062,5.148108747,5.822385106,5.379093653,5.511365502,5.432033422,5.697058745,5.456623873,5.400355419,6.036704992,5.557260126,5.591445963,5.425648987,5.552948287,5.694649943,5.643555309,5.447884172,5.187706843,5.40839337,5.26470198,5.487775453,5.373604168,5.763377611,5.116755519,5.529577132,5.234624092,5.602505496
TCEAL5,4.494233265,4.957439424,4.252324168,4.994418522,5.303033463,5.114437767,5.14173541,4.333583118,5.032778453,4.48058517,5.065245611,5.182556982,4.318755389,4.88860986,4.562030222,5.182188507,4.076376719,4.510925916,4.215372219,4.717315677,4.119639582,4.217643541,4.291352878,4.093081985,4.767170092,4.636656336,4.410317836,4.244734292,4.41558168,4.569387344,4.28604105,4.069894109,4.726019524,4.431964653,4.771374376,4.646134734,4.617206964,4.503929424,4.931997721,4.63230219,4.385205538,4.609056511,5.031576286
TCHH,5.48476185,5.737438481,5.262205816,5.45043799,5.563606286,5.386753695,5.575890227,5.388807244,5.369519981,5.065268689,5.406389237,5.617079233,5.467913098,5.661434388,5.562632334,5.428680753,5.201447587,5.313986524,5.482491083,5.653907538,5.356479503,5.643517007,5.007714189,5.981843164,5.720095126,5.416705874,5.418661936,5.421137684,5.803114085,5.642912184,5.053518922,5.725957364,5.173673778,5.310410989,5.685948317,5.697510498,5.39638291,5.795291343,5.662314355,5.52356042,5.278619858,5.36863958,5.674478281
ELK1,7.925063086,8.093450878,7.829518374,7.827325195,8.074692843,8.055113946,7.617464583,7.913542992,7.810501755,8.116611347,8.04174032,7.831068926,7.85595899,7.981619732,7.96763864,7.819089761,7.923566987,7.22378878,7.583084027,7.906727958,8.16256384,7.476354881,7.981325875,7.986773844,7.889440097,7.877391961,7.647646421,8.025085232,8.132043997,7.907344891,7.697286003,7.737327546,8.116310218,8.066734814,7.66205913,7.848429788,7.743358859,7.727296971,7.9906613,7.833646777,7.813347332,7.960420858,7.948885583
PRDX2,9.253928513,9.810477866,9.72791766,9.424976014,9.445184851,10.06399383,9.600979144,9.448625751,9.270727001,9.346020583,9.802842441,9.438780169,9.922600646,9.671518966,10.04317132,9.707556248,8.941061722,10.44758115,10.01175808,9.703818964,9.937390596,9.680208342,9.81062448,10.06737634,9.666113811,8.805023072,9.001460713,10.22642797,9.888141449,9.939773536,10.3869062,9.652814955,10.01072786,10.38239076,10.34664776,10.13870106,9.554070384,10.02165921,9.919272857,9.652286717,9.741422776,9.601711289,9.891870311
EZH2,6.40805834,6.265177324,6.095052115,6.595559816,6.124792394,6.343801908,6.153659235,6.19967093,6.528583063,6.621876643,6.73575384,6.757236876,6.564941381,6.014280662,6.391721101,6.385255272,7.016249328,6.350737568,6.145494217,6.578276352,6.51364945,6.991074903,7.010550079,6.034187523,6.481590859,6.620270178,7.032366433,6.251138177,7.498836633,6.757750063,6.403907141,7.379329781,6.675373705,6.36812396,6.186240748,6.343441058,6.481745597,5.733692395,6.137504904,7.174943558,6.348064573,6.815643962,6.486083684
MALT1,6.174984898,6.245846304,5.863344057,5.749306884,6.105059334,5.933983037,6.312811026,6.389136674,6.175602425,6.082275558,6.228249896,6.333412183,5.968678681,6.10061076,6.3958473,6.171947767,6.142409004,6.249982901,5.413021487,6.163039673,6.057869024,5.875568701,6.080265501,5.831463575,5.938124157,6.30157288,6.296036993,5.476314925,6.129285151,5.8027686,5.831451351,6.143162963,6.34801998,6.265054292,6.37056768,5.926776576,6.387562452,5.917371826,6.184495883,6.337459055,6.260550516,6.396430079,6.158259967
ACADS,6.948383029,7.42581271,7.865880249,7.785237476,8.404761829,7.915512105,8.010902681,7.462374351,7.302994524,7.979940778,7.53288499,7.193476791,7.581109277,7.779545027,7.50339786,7.674733664,7.629382738,8.544336701,8.17920109,6.828381741,7.615299658,7.585030719,8.590804187,7.545766041,8.777852418,7.185925205,6.986110885,8.571868805,7.438717549,7.446449604,7.96155396,7.254187397,8.335689197,8.169302605,7.882875288,6.343750773,6.938319457,7.277637585,7.202779716,5.691675403,7.239632235,6.59155524,8.662293352
BUB1B,5.51133096,5.693462579,5.633682802,5.89685831,5.762610571,5.690252496,5.548350934,5.860682232,5.616594896,5.782912632,6.193228231,6.144981197,5.810496622,5.849215755,5.519777415,5.832714974,5.320872192,4.75818684,5.550149852,5.584455028,5.362439242,5.198629059,5.341529838,5.161726884,5.66452898,5.634908994,5.319252949,5.331829651,5.756547748,5.497662112,5.072602391,5.768689368,6.54340607,5.618322936,5.643555309,5.366012565,5.253602496,5.647306324,5.453394497,6.493928787,5.56188942,5.833019241,5.737004556
PHKA2,7.138994675,7.559874992,7.511796978,6.994733723,7.185925205,7.424130312,7.205380033,7.3110914,6.927814027,7.227597359,7.210983466,6.728378559,6.921873003,7.450303343,7.027872845,7.299378815,7.486201286,7.40666122,7.79040938,7.280984959,7.685629397,7.050957726,7.678766412,7.876325856,7.534060815,7.812147106,7.410364992,7.643912799,7.416561281,7.486475839,7.460911714,7.505875461,8.135659916,6.843001306,6.779098743,7.783747254,7.487867764,7.255240363,7.764999513,6.924263477,7.563832909,6.741480618,8.006727593
BAIAP2L1,9.853583575,9.540159737,9.555567576,9.557878527,9.317443456,9.309383702,9.703398984,9.198396595,9.311785242,9.649075814,9.855187774,9.64533497,9.739224603,10.07608277,9.67516878,9.629736988,9.968078769,9.607473753,9.926980546,9.418374033,9.705663418,10.06298896,9.57790336,10.40149302,10.18353487,9.596761739,9.840432977,10.20523464,9.772022075,10.34536245,10.08373468,10.26897081,9.525438753,10.01752676,9.795085812,9.721650901,9.668992372,9.339843481,9.754563676,9.893968917,9.661279115,9.701071816,9.638797834
SGCA,6.706966846,6.752074467,6.508653828,6.517388301,6.664156449,6.022941773,5.725721791,6.806869641,6.453376575,6.028748964,5.706706935,6.147085348,5.54540859,6.327703155,5.858374186,6.203331047,6.424915224,5.633786814,6.054407545,6.172105998,6.590688696,5.779466441,6.346051037,7.267030082,5.972538444,5.754873903,5.737642381,7.205246873,5.637375124,6.099668849,5.881537561,5.193710834,5.524202552,5.565344783,5.88518711,5.309129486,6.365304859,5.977358189,6.411480569,5.670046366,5.501622446,5.408154834,6.162289637
COX10,8.386076953,8.957526802,8.853930625,8.206151522,8.657441068,9.066581815,8.740520885,8.706735782,8.126179099,8.27275666,9.0879226,8.612966273,8.585944296,9.008869279,8.905929599,8.412302598,8.651303202,9.634986814,9.367754863,8.388599606,9.143858202,9.061919303,9.07729191,9.318879278,8.922442342,8.365744646,8.168990628,9.628904195,8.634606145,9.270530485,9.350923481,8.694043496,9.116319471,8.768853108,8.895128232,9.176462466,8.490075848,8.578689445,8.758455969,7.743942033,8.767757121,8.417792871,8.991563698
BCL2L1,9.192574986,9.029706177,9.30898451,8.845278,9.300739954,9.066861056,9.4398061,8.981181765,9.004265492,9.148277215,9.08257804,9.052201072,9.037928514,9.069124417,9.281292348,9.180994094,9.315198186,9.173050963,9.391517364,8.856041513,9.432156686,9.154328904,9.580653077,9.82256681,9.848420699,8.932256113,9.185804866,9.316700974,9.093667717,9.068146133,9.246794566,9.100884693,8.95505609,8.658141894,8.695172783,9.243591275,8.59220303,8.538758612,8.767587791,8.889567746,8.433064903,9.036766149,8.780432229
ZNF787,8.852435133,8.66687475,8.424438102,8.745920754,8.626226201,8.858544317,8.468134189,8.765118063,8.545731619,8.737675478,8.822863855,8.72880019,8.617299881,8.850226047,8.545405494,8.297990247,8.875115734,8.721610776,8.879394918,8.775133731,8.715796756,8.346646144,8.528388125,8.560440649,8.577280208,8.324784049,8.548762036,8.91087893,8.854668812,8.773694312,8.972044821,9.003934037,8.963906658,8.952473256,8.876691909,9.047944624,8.518878566,8.354743863,8.950480639,8.731009234,8.905340516,8.825174841,9.212445192
EPHB2,4.938490266,5.198515775,5.480892644,5.637321229,6.230087981,5.31685799,5.235518005,5.163269577,5.404638757,5.629424581,5.173472109,5.222610902,5.236665001,4.928965103,4.89599156,5.536315538,5.083079388,4.591641031,4.618084954,4.843256669,4.646368745,4.792389748,6.738788888,5.333698849,5.876574625,5.322736313,4.863602827,4.820334704,4.966203062,4.778671539,4.515888033,5.352902901,6.535274011,4.64438879,4.992438451,4.820649283,4.874055069,5.133900823,4.667719067,5.050928642,4.847425732,5.057725984,6.438895034
CRH,4.864371646,4.922888074,5.185375289,4.569615627,4.919717047,4.993492669,4.210108792,5.160423621,5.270923334,4.884451809,5.015665105,5.073507007,4.790115728,5.144635774,5.188160172,5.061376623,5.091631921,5.385026827,4.80868945,5.090449051,4.745319989,4.768850133,5.148663667,4.894560111,5.09585967,4.648253471,5.163980324,5.450967865,4.394272191,5.235704943,5.05092653,5.509809742,4.947445262,5.059987257,5.136972283,5.229628254,4.854044666,5.162345284,4.080047244,4.987752899,5.020258784,4.931159569,5.050046373
SNAP25,6.738602053,5.678688989,5.657004607,5.972056795,5.355703328,5.497237073,5.053375165,5.615243853,5.78803074,6.032700398,5.605480206,6.364117401,5.172062125,5.743316725,5.539024167,5.748625297,5.790053241,5.025790348,5.638065085,7.02629964,5.785104426,4.581403455,4.742497909,5.832076664,4.657001943,5.360451862,5.876342779,5.003220462,5.517298732,5.293812257,5.243940392,5.602936332,4.45886903,4.710472824,4.984960314,4.564287323,4.927780006,5.141464067,5.373099392,6.099194699,4.769773107,6.082517573,4.758716874
PRSS1,14.35128257,5.781373,8.889947644,5.649443669,5.255261432,7.200278005,6.687822447,7.497584944,5.987543182,5.213010901,7.270275427,5.008094055,5.827527844,8.413264097,9.599941171,5.618064065,4.975304421,9.233003639,5.519892523,11.24625518,5.496759825,5.019212661,5.038053783,7.086847959,4.956975312,5.430656243,10.86585856,6.069603128,4.704978461,7.458623029,5.2239378,4.817747516,4.719809484,8.018365907,5.556917526,9.940506204,5.265944442,9.802811797,9.036342307,5.029235281,5.084412599,6.457814211,4.421709054
HLA-F,10.64953303,10.81517949,9.830178271,9.581722567,10.88073999,9.931626356,11.01387414,10.60929436,10.45796249,10.27326489,10.5646664,10.9547329,10.83632805,10.60506888,10.25982832,10.6345373,10.80186082,10.68157072,9.196098926,10.58575178,10.23979854,10.53719629,10.97755159,9.424665462,10.34090778,10.46351049,10.56831803,9.738019368,9.929209208,10.20553429,9.747346558,10.93903038,10.61973116,10.01553759,9.844191756,9.894406816,10.23960386,10.05260898,9.963984825,10.78810088,10.50385049,10.63770796,10.30353496
HIVEP3,5.689727676,5.632650657,5.551911992,5.798748105,5.303033463,5.654006369,5.665099559,5.449260984,5.405192073,5.340169511,5.523545065,5.701879874,5.453658675,5.529044322,5.095112659,5.262221406,5.580177522,5.913398192,5.454607914,5.719841179,5.910673055,5.54776509,5.594767578,5.651336401,5.320835,5.587607271,5.757299977,5.773091454,6.058473039,5.589408446,5.779877088,5.506278189,5.463162239,5.429757867,5.886251788,5.920930666,5.833895763,5.719027698,5.708405934,6.065952116,5.685257762,5.550343688,5.408723181
SCP2,7.967489134,7.331934066,7.802569584,7.673512673,7.663423288,7.694590578,7.610701425,6.902842989,6.816055687,7.186882336,7.20043101,6.850223898,7.54462068,7.27806175,7.054871129,7.474644099,7.426998502,7.933882423,8.074391233,7.449251177,7.456485133,7.515408694,8.509147985,8.398248496,9.034684969,7.060399964,7.485149317,8.390520838,7.522977464,7.643317783,8.438636697,7.04362403,8.422791309,7.57997985,7.885262496,6.302355085,7.510279778,7.55243446,7.682661736,7.687806906,6.931537031,7.369466633,7.5833913
SLC9A2,9.729692459,9.436784168,9.647466045,9.767109384,8.51016549,10.18429401,9.005342121,9.287261519,9.19483904,9.606661554,9.344895103,9.181150282,9.604814403,9.561066315,9.414365447,9.503101725,9.38696305,9.911555968,9.433790642,9.351393009,9.574242464,9.114138436,8.406776526,9.702804074,9.275522865,9.206982558,8.877885826,9.776079718,9.593991516,9.715790548,9.92188033,9.072141421,9.408005177,9.819008927,9.591299859,9.743582287,9.58802444,9.500496649,9.253190236,8.991563698,9.442621204,8.93749037,8.497398054
NBPF20,10.64022145,10.0447215,11.56668156,9.139605596,9.350454295,10.73828707,8.166699982,8.948303144,8.854668812,8.625555669,10.4592634,8.828576154,9.498396926,10.28935306,10.0453946,9.056207425,10.80060902,12.11077064,11.27322089,11.1148488,12.68202504,10.38118099,10.90652154,11.17116659,10.24817,10.83747399,10.69534351,13.06805387,10.6431353,11.86429903,12.12013131,11.17253086,10.57212105,9.748727878,8.765468375,12.730708,10.82440213,11.40081455,11.55499513,9.540159737,11.39137159,10.24971371,11.1381409
HMBS,7.358274136,6.721216141,7.450415843,7.694115357,7.483109059,7.789921936,7.16241328,7.24462437,7.190390626,7.63209807,7.667085041,7.88613047,7.699782194,7.368069714,7.527814979,7.378413586,7.785167161,7.969149408,7.939118393,7.723379949,7.499972326,7.522190592,7.507030112,7.136796546,7.64682176,7.503088423,7.5793052,7.56722413,8.6279304,7.610855599,7.679885067,7.722052962,8.123696123,8.08610204,7.910231033,7.97889386,7.160823063,7.861452146,7.907836279,8.182051226,7.496909935,7.765776607,7.566258073
CHEK2,5.851212381,6.234020992,6.289258771,6.385597859,6.269191439,6.13654803,5.921249709,6.055072603,6.656604059,6.460532139,6.82068175,6.60528769,6.414518236,6.212802966,6.593875321,6.025156981,5.428257161,5.443282869,4.7813684,5.797634014,5.643753199,5.789326669,6.108560207,5.534578521,5.962362984,5.8417184,5.965637044,5.128475024,6.611982552,5.644020991,5.152247329,5.870581365,6.095512059,5.528882417,5.748750822,5.337571589,5.914910053,5.256852124,6.054675488,6.475087668,6.152924601,5.540601324,6.057382268
CD163,8.984178622,9.439680505,8.218964737,7.865425202,9.94700306,7.74800111,8.855820941,8.576605258,7.87222893,7.466436749,9.108111073,9.436784168,9.577652805,7.57770575,9.048148413,8.532644746,8.396680393,7.14161745,6.581949085,9.18401032,8.574528869,9.29800854,8.490075848,7.989428653,7.739066713,7.787585922,9.544901151,8.102089359,8.082609472,8.345035433,6.754847951,8.877102521,6.065111283,8.050087471,8.436997525,8.664409535,8.510500483,8.130765376,8.902483281,8.669013541,9.058954753,9.419840938,7.906467526
GRWD1,7.764675902,7.825970126,7.988400431,7.941820152,7.757512497,7.970712512,7.961132978,7.880060176,7.945788089,7.928302381,8.399942885,8.072787802,7.784198178,8.115831009,8.53233242,7.806153416,8.516850794,7.79888571,8.023840664,8.440955865,7.674733664,8.212937124,7.9197214,8.248241803,8.173681968,8.350865269,8.189616687,7.916859532,8.250391485,7.955383057,7.983421429,8.463598647,7.913839732,8.136580493,7.582209327,7.952498401,7.70846178,7.392545917,7.363608712,7.374260648,7.879464604,7.668210215,7.60378623
PGK1,9.77765187,9.620777284,9.671417762,10.16311977,10.14382116,9.989002623,10.01430667,10.03889027,9.169592924,10.10713635,9.933963869,10.0487612,10.29878651,9.669363825,9.895880201,10.14826884,9.527942485,9.934282867,9.564457396,9.939465267,9.64856824,9.986521152,10.1267546,9.200313829,10.4625334,9.936063016,9.947378836,9.280717152,10.21801538,9.806165205,9.587560064,9.827414608,10.45627368,10.07999484,10.04968779,9.613919821,9.712617354,10.00150681,10.06487838,10.37955611,9.814685356,10.24938316,10.13278423
STARD3NL,7.58863506,7.521708615,7.450988566,7.667486733,7.558573346,7.574771233,7.745686129,7.353520899,7.341559326,7.078154,7.635079064,7.288517065,7.462761909,7.107787777,7.433253002,7.727296971,7.123738988,6.954180526,6.915872486,7.263219432,6.992582883,7.814832345,7.544057438,7.366415655,7.816904132,7.214973231,7.375947033,7.087862408,7.28606926,7.585030719,6.978610904,7.151567039,6.607531172,7.297929688,7.386572049,5.496308117,7.002607809,6.634617997,7.169669817,7.414865037,7.096535765,7.374260648,6.812475774
