,ind002,ind003,ind005,ind006,ind011,ind012,ind017,ind024,ind027,ind028,ind030,ind032,ind033,ind036,ind037,ind039,ind040,ind041,ind042,ind043,ind044,ind048,ind050,ind053,ind056,ind058,ind062,ind065,ind066,ind067,ind068,ind069,ind080,ind084,ind085,ind093,ind094,ind095,ind096,ind097,ind098,ind099,ind100
L1CAM,5.188289878,5.528990293,5.479743431,5.382328164,5.266188993,5.53881787,5.168560633,5.20889874,5.369194056,5.260346557,5.635450927,5.199071951,4.930147459,5.217662805,4.820579123,5.347418215,5.049246962,4.941842452,5.636982272,5.03359421,4.993157807,4.994377364,5.235912816,4.951510278,5.060751034,5.018081651,5.177368139,4.746472025,5.530756844,4.83279146,5.195944553,5.027488642,5.166606314,5.020341381,5.107070992,4.986981402,5.003886285,4.879866771,5.475802445,5.153034671,5.301087077,5.248337336,4.97891845
COQ6,8.303770746,8.807834738,8.910497798,8.280455602,8.265515766,9.053034053,8.471600151,8.439115587,8.07532192,8.384469497,8.808590317,8.246726383,8.622750425,8.824031279,8.821115919,8.320289003,8.310414212,9.389934944,9.326507207,8.551155969,8.804542693,8.6972932,8.747495546,8.880173908,8.582774963,8.318074447,8.338297271,9.353717173,8.274718024,8.845438965,8.880951956,8.561480485,8.327010886,8.627077875,8.719756979,8.94434434,8.216744555,8.592208896,8.71615775,7.906727958,8.431122939,8.084376695,7.969587917
DNASE1,7.760400074,8.249177366,9.090951247,7.10681145,8.175787857,9.150354984,8.468134189,7.495301146,5.423010949,8.309489061,8.024172198,5.557871143,7.04018336,9.190322603,8.060206341,7.740928802,5.256357602,6.851650979,9.215085163,7.342104303,8.306934436,7.637719346,8.653369855,8.892780471,7.943011924,5.561483592,5.176157695,8.276917649,5.257151871,9.300887154,9.267308865,7.436690282,8.871192898,6.927814027,8.190814087,8.748945137,8.053460512,8.887215649,8.184430402,5.647460249,8.724122697,5.411204002,8.735838698
MYO3A,5.176893338,4.770544387,4.668399671,4.843867467,4.640239803,5.336265493,4.31553123,4.929492224,5.227016399,5.35376344,5.36113955,5.04142514,5.199244318,5.144635774,5.498669243,5.093417879,5.091406557,5.67070381,5.335583293,5.038931806,5.309537522,4.850536309,4.991575383,5.177646414,5.090525588,5.215061912,5.143123513,5.210624485,5.441112074,5.523437447,5.397484698,5.578812125,5.21240091,5.215242186,5.200471389,5.283141121,5.397357358,5.103607241,5.377553732,5.196609322,5.119836353,5.139806303,5.119185314
PFKM,7.342104303,7.463263135,7.31884902,7.367386319,7.568577645,7.737905764,6.790049011,7.303740355,7.312716923,7.137042098,7.362094318,7.3110914,7.218690271,7.222994196,7.658226108,7.24132935,7.284485053,7.87222893,7.638519142,7.141378442,7.409024547,7.388180998,7.048360849,7.574205329,7.181217662,7.081518853,6.735894029,7.873737239,7.244390642,7.533024165,7.751485941,6.837953046,7.482174084,7.659685243,8.001382978,7.819808716,7.607092269,7.572411954,7.727822532,7.383677884,7.56964465,7.006777672,7.330142634
KITLG,7.880803056,7.687674246,7.679032467,7.42789371,6.975063508,8.073272085,7.531462187,8.015447339,7.738477908,7.521980352,7.705651132,7.375403678,7.881485852,8.063852002,8.118050878,7.638777934,6.567381128,8.000861398,7.539518818,7.369078282,7.76831484,7.25169283,6.859551791,7.181445779,7.149400921,6.774522474,6.933302894,7.45180623,6.873492604,7.870729878,7.737918559,6.693101005,7.681088566,7.883573381,8.033318496,7.44143291,7.871046997,8.40142715,8.035435104,7.811177218,7.936792733,7.707600236,6.953724683
MYBPC1,4.945144664,5.068495511,5.327314207,5.497150873,5.185415622,6.23582764,5.073695538,5.325144322,4.854751829,4.819426569,5.399837261,4.860339358,5.434535976,4.332572413,5.118689392,4.718942408,4.880607119,4.731262793,4.68614026,5.318770286,5.162752743,4.886375894,4.734203044,5.064567915,4.851288205,4.91280718,5.112193566,4.999149338,5.429296209,4.914959801,4.847428544,5.673334779,5.028316755,5.225228474,4.521729289,4.944803419,5.569271742,4.888941282,4.849715139,4.826291267,4.96898273,4.970118151,4.945674626
NES,6.71824765,6.928226227,7.079813849,6.885097358,6.796710577,6.453487806,6.290790086,7.194207711,6.897705122,6.383835772,6.526036169,6.444505767,6.5376828,6.91966131,6.581483382,6.577145232,6.978893709,7.439034857,6.966814933,6.826820739,6.793307848,6.011573038,6.611982552,6.961384819,5.78221111,6.69334216,6.760707662,6.780416512,6.443205983,6.430006483,6.593253161,6.605573173,6.348302661,6.611464457,6.1843938,7.283109806,6.824783716,6.579997494,6.742821311,6.370968271,6.625067496,6.614337015,6.502956201
ATP1A3,5.789558761,6.278549992,6.520807597,5.705042407,5.64727935,6.394913952,5.758053232,5.767600385,6.008746114,5.746749277,6.171782053,5.414599145,5.794788008,6.096384099,5.949828756,5.721175787,6.159928961,7.832822362,7.587262753,5.622153375,6.850371135,5.942670012,6.133352658,7.47027898,5.893003716,6.174705841,6.227126558,7.930290501,6.106308646,7.19244576,7.261345575,5.643381757,5.833676911,6.788878404,7.058269945,7.893856075,6.368397589,7.454693025,6.416009371,6.316553387,6.605573173,5.908690505,5.707017955
CBS,7.750350851,8.533445003,9.385483213,6.91311016,6.675718059,9.168004049,7.886014228,8.637831352,7.451631434,7.03840097,7.859248485,6.541983327,7.54462068,9.085212872,8.972044821,6.79817136,6.839185224,9.183136749,9.73372632,6.421427697,8.726645373,8.597034841,6.140008493,8.957728123,7.448379382,6.68930877,6.982177945,7.767290102,6.761801228,9.329791419,9.734319691,6.241182068,7.57770575,9.788144141,8.535125448,9.06148377,7.983751219,9.442621204,9.095243518,6.831362537,8.461894467,6.030803933,6.786877349
